linter,tags
box_alphabetical_calls_linter,best_practices readability
box_func_import_count_linter,best_practices configurable readability configurable
box_mod_fun_exists_linter,default executing
box_pkg_fun_exists_linter,default executing
box_separate_calls_linter,common_mistakes readibility
box_trailing_commas_linter,common_mistakes best_practices configurable
box_universal_import_linter,best_practices robustness efficiency
box_unused_attached_mod_linter,default executing consistency efficiency
box_unused_attached_mod_obj_linter,default executing consistency efficiency
box_unused_attached_pkg_fun_linter,default executing consistency efficiency
box_unused_attached_pkg_linter,default executing consistency efficiency
box_usage_linter,default executing consistency
namespace_function_calls,default correctness configurable
r6_usage_linter,default executing consistency
unused_declared_object_linter,default executing consistency
